,season,city,team1,team2
282,2011,Bangalore,Kochi Tuskers Kerala,Royal Challengers Bangalore
283,2011,Chandigarh,Kings XI Punjab,Pune Warriors
284,2011,Jaipur,Chennai Super Kings,Rajasthan Royals
285,2011,Hyderabad,Deccan Chargers,Pune Warriors
286,2011,Chandigarh,Kings XI Punjab,Mumbai Indians
287,2011,Jaipur,Rajasthan Royals,Royal Challengers Bangalore
288,2011,Chennai,Chennai Super Kings,Delhi Daredevils
289,2011,Indore,Kochi Tuskers Kerala,Kings XI Punjab
291,2011,Mumbai,Deccan Chargers,Mumbai Indians
292,2011,Dharamsala,Kings XI Punjab,Delhi Daredevils
293,2011,Indore,Rajasthan Royals,Kochi Tuskers Kerala
294,2011,Mumbai,Pune Warriors,Deccan Chargers
295,2011,Dharamsala,Kings XI Punjab,Royal Challengers Bangalore
296,2011,Chennai,Chennai Super Kings,Kochi Tuskers Kerala
297,2011,Mumbai,Pune Warriors,Kolkata Knight Riders
298,2011,Mumbai,Mumbai Indians,Rajasthan Royals
299,2011,Dharamsala,Deccan Chargers,Kings XI Punjab
300,2011,Delhi,Delhi Daredevils,Pune Warriors
301,2011,Bangalore,Chennai Super Kings,Royal Challengers Bangalore
302,2011,Kolkata,Kolkata Knight Riders,Mumbai Indians
303,2011,Mumbai,Royal Challengers Bangalore,Chennai Super Kings
304,2011,Mumbai,Kolkata Knight Riders,Mumbai Indians
305,2011,Chennai,Royal Challengers Bangalore,Mumbai Indians
306,2011,Chennai,Chennai Super Kings,Royal Challengers Bangalore
307,2012,Chennai,Chennai Super Kings,Mumbai Indians
308,2012,Kolkata,Kolkata Knight Riders,Delhi Daredevils
309,2012,Mumbai,Pune Warriors,Mumbai Indians
310,2012,Jaipur,Rajasthan Royals,Kings XI Punjab
311,2012,Bangalore,Royal Challengers Bangalore,Delhi Daredevils
312,2012,Visakhapatnam,Chennai Super Kings,Deccan Chargers
313,2012,Jaipur,Rajasthan Royals,Kolkata Knight Riders
314,2012,Pune,Pune Warriors,Kings XI Punjab
315,2012,Visakhapatnam,Deccan Chargers,Mumbai Indians
316,2012,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
317,2012,Delhi,Chennai Super Kings,Delhi Daredevils
318,2012,Mumbai,Mumbai Indians,Rajasthan Royals
319,2012,Chennai,Royal Challengers Bangalore,Chennai Super Kings
320,2012,Chandigarh,Pune Warriors,Kings XI Punjab
321,2012,Kolkata,Rajasthan Royals,Kolkata Knight Riders
322,2012,Delhi,Deccan Chargers,Delhi Daredevils
323,2012,Pune,Chennai Super Kings,Pune Warriors
324,2012,Kolkata,Kings XI Punjab,Kolkata Knight Riders
325,2012,Bangalore,Rajasthan Royals,Royal Challengers Bangalore
326,2012,Mumbai,Mumbai Indians,Delhi Daredevils
327,2012,Jaipur,Deccan Chargers,Rajasthan Royals
328,2012,Bangalore,Pune Warriors,Royal Challengers Bangalore
329,2012,Chandigarh,Kings XI Punjab,Kolkata Knight Riders
330,2012,Hyderabad,Deccan Chargers,Delhi Daredevils
331,2012,Chennai,Chennai Super Kings,Pune Warriors
332,2012,Chandigarh,Kings XI Punjab,Royal Challengers Bangalore
333,2012,Chennai,Rajasthan Royals,Chennai Super Kings
334,2012,Delhi,Pune Warriors,Delhi Daredevils
335,2012,Mumbai,Mumbai Indians,Kings XI Punjab
336,2012,Cuttack,Deccan Chargers,Kolkata Knight Riders
337,2012,Jaipur,Royal Challengers Bangalore,Rajasthan Royals
338,2012,Pune,Pune Warriors,Delhi Daredevils
339,2012,Chandigarh,Kings XI Punjab,Mumbai Indians
340,2012,Pune,Deccan Chargers,Pune Warriors
341,2012,Delhi,Delhi Daredevils,Mumbai Indians
342,2012,Chennai,Kings XI Punjab,Chennai Super Kings
343,2012,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore
344,2012,Delhi,Delhi Daredevils,Rajasthan Royals
345,2012,Mumbai,Deccan Chargers,Mumbai Indians
346,2012,Chennai,Chennai Super Kings,Kolkata Knight Riders
347,2012,Cuttack,Deccan Chargers,Pune Warriors
348,2012,Jaipur,Rajasthan Royals,Delhi Daredevils
349,2012,Bangalore,Royal Challengers Bangalore,Kings XI Punjab
350,2012,Pune,Mumbai Indians,Pune Warriors
351,2012,Chennai,Chennai Super Kings,Deccan Chargers
352,2012,Kolkata,Kolkata Knight Riders,Pune Warriors
353,2012,Chandigarh,Rajasthan Royals,Kings XI Punjab
354,2012,Mumbai,Chennai Super Kings,Mumbai Indians
355,2012,Bangalore,Deccan Chargers,Royal Challengers Bangalore
356,2012,Delhi,Delhi Daredevils,Kolkata Knight Riders
357,2012,Pune,Pune Warriors,Rajasthan Royals
358,2012,Hyderabad,Kings XI Punjab,Deccan Chargers
359,2012,Mumbai,Mumbai Indians,Royal Challengers Bangalore
360,2012,Jaipur,Rajasthan Royals,Chennai Super Kings
361,2012,Pune,Royal Challengers Bangalore,Pune Warriors
362,2012,Kolkata,Mumbai Indians,Kolkata Knight Riders
363,2012,Chennai,Delhi Daredevils,Chennai Super Kings
364,2012,Jaipur,Rajasthan Royals,Pune Warriors
365,2012,Chandigarh,Deccan Chargers,Kings XI Punjab
366,2012,Bangalore,Royal Challengers Bangalore,Mumbai Indians
367,2012,Kolkata,Kolkata Knight Riders,Chennai Super Kings
368,2012,Delhi,Kings XI Punjab,Delhi Daredevils
369,2012,Mumbai,Kolkata Knight Riders,Mumbai Indians
370,2012,Dharamsala,Chennai Super Kings,Kings XI Punjab
371,2012,Delhi,Royal Challengers Bangalore,Delhi Daredevils
372,2012,Hyderabad,Rajasthan Royals,Deccan Chargers
373,2012,Dharamsala,Kings XI Punjab,Delhi Daredevils
374,2012,Pune,Kolkata Knight Riders,Pune Warriors
375,2012,Hyderabad,Deccan Chargers,Royal Challengers Bangalore
376,2012,Jaipur,Rajasthan Royals,Mumbai Indians
377,2012,Pune,Kolkata Knight Riders,Delhi Daredevils
378,2012,Bangalore,Chennai Super Kings,Mumbai Indians
379,2012,Chennai,Chennai Super Kings,Delhi Daredevils
380,2012,Chennai,Chennai Super Kings,Kolkata Knight Riders
381,2013,Kolkata,Delhi Daredevils,Kolkata Knight Riders
382,2013,Bangalore,Royal Challengers Bangalore,Mumbai Indians
383,2013,Hyderabad,Sunrisers Hyderabad,Pune Warriors
384,2013,Delhi,Rajasthan Royals,Delhi Daredevils
385,2013,Chennai,Mumbai Indians,Chennai Super Kings
386,2013,Pune,Pune Warriors,Kings XI Punjab
387,2013,Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
388,2013,Jaipur,Rajasthan Royals,Kolkata Knight Riders
389,2013,Mumbai,Mumbai Indians,Delhi Daredevils
390,2013,Chandigarh,Kings XI Punjab,Chennai Super Kings
391,2013,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
392,2013,Pune,Rajasthan Royals,Pune Warriors
393,2013,Delhi,Delhi Daredevils,Sunrisers Hyderabad
394,2013,Mumbai,Mumbai Indians,Pune Warriors
395,2013,Chennai,Royal Challengers Bangalore,Chennai Super Kings
396,2013,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad
397,2013,Jaipur,Kings XI Punjab,Rajasthan Royals
398,2013,Chennai,Pune Warriors,Chennai Super Kings
399,2013,Chandigarh,Kings XI Punjab,Kolkata Knight Riders
400,2013,Bangalore,Delhi Daredevils,Royal Challengers Bangalore
401,2013,Pune,Sunrisers Hyderabad,Pune Warriors
402,2013,Jaipur,Rajasthan Royals,Mumbai Indians
403,2013,Delhi,Chennai Super Kings,Delhi Daredevils
404,2013,Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
405,2013,Kolkata,Kolkata Knight Riders,Chennai Super Kings
406,2013,Bangalore,Rajasthan Royals,Royal Challengers Bangalore
407,2013,Delhi,Mumbai Indians,Delhi Daredevils
408,2013,Chandigarh,Pune Warriors,Kings XI Punjab
409,2013,Chennai,Rajasthan Royals,Chennai Super Kings
410,2013,Bangalore,Royal Challengers Bangalore,Pune Warriors
411,2013,Dharamsala,Kings XI Punjab,Delhi Daredevils
412,2013,Kolkata,Kolkata Knight Riders,Mumbai Indians
413,2013,Chennai,Sunrisers Hyderabad,Chennai Super Kings
414,2013,Kolkata,Kings XI Punjab,Kolkata Knight Riders
415,2013,Jaipur,Sunrisers Hyderabad,Rajasthan Royals
416,2013,Mumbai,Mumbai Indians,Royal Challengers Bangalore
417,2013,Chennai,Chennai Super Kings,Kolkata Knight Riders
418,2013,Raipur,Delhi Daredevils,Pune Warriors
419,2013,Jaipur,Royal Challengers Bangalore,Rajasthan Royals
420,2013,Mumbai,Mumbai Indians,Kings XI Punjab
421,2013,Pune,Chennai Super Kings,Pune Warriors
422,2013,Hyderabad,Mumbai Indians,Sunrisers Hyderabad
423,2013,Raipur,Kolkata Knight Riders,Delhi Daredevils
424,2013,Chennai,Chennai Super Kings,Kings XI Punjab
425,2013,Pune,Royal Challengers Bangalore,Pune Warriors
426,2013,Kolkata,Rajasthan Royals,Kolkata Knight Riders
427,2013,Hyderabad,Delhi Daredevils,Sunrisers Hyderabad
428,2013,Bangalore,Royal Challengers Bangalore,Kings XI Punjab
429,2013,Mumbai,Mumbai Indians,Chennai Super Kings
430,2013,Jaipur,Pune Warriors,Rajasthan Royals
431,2013,Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore
432,2013,Jaipur,Delhi Daredevils,Rajasthan Royals
433,2013,Mumbai,Mumbai Indians,Kolkata Knight Riders
434,2013,Hyderabad,Chennai Super Kings,Sunrisers Hyderabad
435,2013,Chandigarh,Kings XI Punjab,Rajasthan Royals
436,2013,Pune,Kolkata Knight Riders,Pune Warriors
437,2013,Delhi,Royal Challengers Bangalore,Delhi Daredevils
438,2013,Pune,Pune Warriors,Mumbai Indians
439,2013,Chandigarh,Sunrisers Hyderabad,Kings XI Punjab
440,2013,Ranchi,Royal Challengers Bangalore,Kolkata Knight Riders
441,2013,Jaipur,Chennai Super Kings,Rajasthan Royals
442,2013,Delhi,Delhi Daredevils,Kings XI Punjab
443,2013,Mumbai,Sunrisers Hyderabad,Mumbai Indians
444,2013,Ranchi,Pune Warriors,Kolkata Knight Riders
445,2013,Chennai,Chennai Super Kings,Delhi Daredevils
446,2013,Mumbai,Mumbai Indians,Rajasthan Royals
447,2013,Chandigarh,Royal Challengers Bangalore,Kings XI Punjab
448,2013,Hyderabad,Sunrisers Hyderabad,Rajasthan Royals
449,2013,Dharamsala,Kings XI Punjab,Mumbai Indians
450,2013,Pune,Pune Warriors,Delhi Daredevils
451,2013,Bangalore,Royal Challengers Bangalore,Chennai Super Kings
452,2013,Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
453,2013,Delhi,Chennai Super Kings,Mumbai Indians
454,2013,Delhi,Sunrisers Hyderabad,Rajasthan Royals
455,2013,Kolkata,Rajasthan Royals,Mumbai Indians
456,2013,Kolkata,Mumbai Indians,Chennai Super Kings
457,2014,Abu Dhabi,Kolkata Knight Riders,Mumbai Indians
458,2014,Sharjah,Delhi Daredevils,Royal Challengers Bangalore
459,2014,Abu Dhabi,Chennai Super Kings,Kings XI Punjab
460,2014,Abu Dhabi,Sunrisers Hyderabad,Rajasthan Royals
461,2014,,Mumbai Indians,Royal Challengers Bangalore
