,season,city,team1,team2,venue
366,2012,Bangalore,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium
367,2012,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Eden Gardens
368,2012,Delhi,Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla
369,2012,Mumbai,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium
370,2012,Dharamsala,Chennai Super Kings,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium
371,2012,Delhi,Royal Challengers Bangalore,Delhi Daredevils,Feroz Shah Kotla
372,2012,Hyderabad,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
373,2012,Dharamsala,Kings XI Punjab,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium
374,2012,Pune,Kolkata Knight Riders,Pune Warriors,Subrata Roy Sahara Stadium
375,2012,Hyderabad,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal"
376,2012,Jaipur,Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium
377,2012,Pune,Kolkata Knight Riders,Delhi Daredevils,Subrata Roy Sahara Stadium
378,2012,Bangalore,Chennai Super Kings,Mumbai Indians,M Chinnaswamy Stadium
379,2012,Chennai,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk"
380,2012,Chennai,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk"
381,2013,Kolkata,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens
382,2013,Bangalore,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium
383,2013,Hyderabad,Sunrisers Hyderabad,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal"
384,2013,Delhi,Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla
385,2013,Chennai,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
386,2013,Pune,Pune Warriors,Kings XI Punjab,Subrata Roy Sahara Stadium
387,2013,Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
388,2013,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium
389,2013,Mumbai,Mumbai Indians,Delhi Daredevils,Wankhede Stadium
390,2013,Chandigarh,Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali"
391,2013,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium
392,2013,Pune,Rajasthan Royals,Pune Warriors,Subrata Roy Sahara Stadium
393,2013,Delhi,Delhi Daredevils,Sunrisers Hyderabad,Feroz Shah Kotla
394,2013,Mumbai,Mumbai Indians,Pune Warriors,Wankhede Stadium
395,2013,Chennai,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
396,2013,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens
397,2013,Jaipur,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium
398,2013,Chennai,Pune Warriors,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
399,2013,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali"
400,2013,Bangalore,Delhi Daredevils,Royal Challengers Bangalore,M Chinnaswamy Stadium
401,2013,Pune,Sunrisers Hyderabad,Pune Warriors,Subrata Roy Sahara Stadium
402,2013,Jaipur,Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium
403,2013,Delhi,Chennai Super Kings,Delhi Daredevils,Feroz Shah Kotla
404,2013,Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
405,2013,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Eden Gardens
406,2013,Bangalore,Rajasthan Royals,Royal Challengers Bangalore,M Chinnaswamy Stadium
407,2013,Delhi,Mumbai Indians,Delhi Daredevils,Feroz Shah Kotla
408,2013,Chandigarh,Pune Warriors,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
409,2013,Chennai,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
410,2013,Bangalore,Royal Challengers Bangalore,Pune Warriors,M Chinnaswamy Stadium
411,2013,Dharamsala,Kings XI Punjab,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium
412,2013,Kolkata,Kolkata Knight Riders,Mumbai Indians,Eden Gardens
413,2013,Chennai,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
414,2013,Kolkata,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens
415,2013,Jaipur,Sunrisers Hyderabad,Rajasthan Royals,Sawai Mansingh Stadium
416,2013,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium
417,2013,Chennai,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk"
418,2013,Raipur,Delhi Daredevils,Pune Warriors,Shaheed Veer Narayan Singh International Stadium
419,2013,Jaipur,Royal Challengers Bangalore,Rajasthan Royals,Sawai Mansingh Stadium
420,2013,Mumbai,Mumbai Indians,Kings XI Punjab,Wankhede Stadium
421,2013,Pune,Chennai Super Kings,Pune Warriors,Subrata Roy Sahara Stadium
422,2013,Hyderabad,Mumbai Indians,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
423,2013,Raipur,Kolkata Knight Riders,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium
424,2013,Chennai,Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk"
425,2013,Pune,Royal Challengers Bangalore,Pune Warriors,Subrata Roy Sahara Stadium
426,2013,Kolkata,Rajasthan Royals,Kolkata Knight Riders,Eden Gardens
427,2013,Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
428,2013,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium
429,2013,Mumbai,Mumbai Indians,Chennai Super Kings,Wankhede Stadium
430,2013,Jaipur,Pune Warriors,Rajasthan Royals,Sawai Mansingh Stadium
431,2013,Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,M Chinnaswamy Stadium
432,2013,Jaipur,Delhi Daredevils,Rajasthan Royals,Sawai Mansingh Stadium
433,2013,Mumbai,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium
434,2013,Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
435,2013,Chandigarh,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali"
436,2013,Pune,Kolkata Knight Riders,Pune Warriors,Subrata Roy Sahara Stadium
437,2013,Delhi,Royal Challengers Bangalore,Delhi Daredevils,Feroz Shah Kotla
438,2013,Pune,Pune Warriors,Mumbai Indians,Subrata Roy Sahara Stadium
439,2013,Chandigarh,Sunrisers Hyderabad,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
440,2013,Ranchi,Royal Challengers Bangalore,Kolkata Knight Riders,JSCA International Stadium Complex
441,2013,Jaipur,Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium
442,2013,Delhi,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla
443,2013,Mumbai,Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium
444,2013,Ranchi,Pune Warriors,Kolkata Knight Riders,JSCA International Stadium Complex
445,2013,Chennai,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk"
446,2013,Mumbai,Mumbai Indians,Rajasthan Royals,Wankhede Stadium
447,2013,Chandigarh,Royal Challengers Bangalore,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
448,2013,Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal"
449,2013,Dharamsala,Kings XI Punjab,Mumbai Indians,Himachal Pradesh Cricket Association Stadium
450,2013,Pune,Pune Warriors,Delhi Daredevils,Subrata Roy Sahara Stadium
451,2013,Bangalore,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium
452,2013,Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
453,2013,Delhi,Chennai Super Kings,Mumbai Indians,Feroz Shah Kotla
454,2013,Delhi,Sunrisers Hyderabad,Rajasthan Royals,Feroz Shah Kotla
455,2013,Kolkata,Rajasthan Royals,Mumbai Indians,Eden Gardens
456,2013,Kolkata,Mumbai Indians,Chennai Super Kings,Eden Gardens
457,2014,Abu Dhabi,Kolkata Knight Riders,Mumbai Indians,Sheikh Zayed Stadium
458,2014,Sharjah,Delhi Daredevils,Royal Challengers Bangalore,Sharjah Cricket Stadium
459,2014,Abu Dhabi,Chennai Super Kings,Kings XI Punjab,Sheikh Zayed Stadium
460,2014,Abu Dhabi,Sunrisers Hyderabad,Rajasthan Royals,Sheikh Zayed Stadium
461,2014,,Mumbai Indians,Royal Challengers Bangalore,Dubai International Cricket Stadium
462,2014,,Kolkata Knight Riders,Delhi Daredevils,Dubai International Cricket Stadium
463,2014,Sharjah,Rajasthan Royals,Kings XI Punjab,Sharjah Cricket Stadium
464,2014,Abu Dhabi,Chennai Super Kings,Delhi Daredevils,Sheikh Zayed Stadium
465,2014,Sharjah,Kings XI Punjab,Sunrisers Hyderabad,Sharjah Cricket Stadium
466,2014,,Chennai Super Kings,Rajasthan Royals,Dubai International Cricket Stadium
467,2014,Sharjah,Kolkata Knight Riders,Royal Challengers Bangalore,Sharjah Cricket Stadium
468,2014,,Sunrisers Hyderabad,Delhi Daredevils,Dubai International Cricket Stadium
469,2014,,Mumbai Indians,Chennai Super Kings,Dubai International Cricket Stadium
470,2014,Abu Dhabi,Royal Challengers Bangalore,Rajasthan Royals,Sheikh Zayed Stadium
471,2014,Abu Dhabi,Kings XI Punjab,Kolkata Knight Riders,Sheikh Zayed Stadium
472,2014,Sharjah,Mumbai Indians,Delhi Daredevils,Sharjah Cricket Stadium
473,2014,Sharjah,Sunrisers Hyderabad,Chennai Super Kings,Sharjah Cricket Stadium
474,2014,,Royal Challengers Bangalore,Kings XI Punjab,Dubai International Cricket Stadium
475,2014,Abu Dhabi,Rajasthan Royals,Kolkata Knight Riders,Sheikh Zayed Stadium
476,2014,,Sunrisers Hyderabad,Mumbai Indians,Dubai International Cricket Stadium
477,2014,Ranchi,Chennai Super Kings,Kolkata Knight Riders,JSCA International Stadium Complex
478,2014,Mumbai,Kings XI Punjab,Mumbai Indians,Wankhede Stadium
479,2014,Delhi,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla
480,2014,Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,M Chinnaswamy Stadium
